Input file name,Backup file name,Modify date and time,Different Ontology in reads or not,Changes description
Sample1.vcf,Sample1_20231024_233135.vcf,2023-10-24 23:31:35,no,{overall_ontology}.over all unique change: http://purl.bioontology.org/ontology/NCBITAXON/79923.
Sample1.vcf,Sample1_20231024_233516.vcf,2023-10-24 23:35:16,no,{overall_ontology}.over all unique change: http://bmi.utah.edu/ontologies/hfontology/C0264856.
Sample1.vcf,Sample1_20231024_233709.vcf,2023-10-24 23:37:09,no,{overall_ontology}.over all unique change: http://homes.esat.kuleuven.be/~bioiuser/chdwiki/index.php/CHDEPCC:060600.over all unique change: http://homes.esat.kuleuven.be/~bioiuser/chdwiki/index.php/CHDEPCC:060600.
Sample1.vcf,Sample1_20231024_233821.vcf,2023-10-24 23:38:21,no,{overall_ontology}.over all unique change: http://homes.esat.kuleuven.be/~bioiuser/chdwiki/index.php/CHDEPCC:060600.over all unique change: http://homes.esat.kuleuven.be/~bioiuser/chdwiki/index.php/CHDEPCC:060600.
